priority,bib_key,year,title,type,metadata_status,recommended_action
P1,mastermind2024strategic,2024,"LLM as a Mastermind: A Survey of Strategic Reasoning with Large Language Models",tech_report,needs_author_lookup,"Find authors and keep if you use strategic reasoning discussion"
P1,luo2025agentsurvey,2025,"Large Language Model Agent: A Survey on Methodology, Applications and Challenges",preprint,partial,"Keep and optionally complete full author list"
P1,llmbased2024multiagent,2024,"A Survey on LLM-based Multi-Agent System: Recent Advances and New Frontiers in Application",preprint,needs_author_lookup,"Find authors and keep as support literature"
P1,eval2025agents,2025,"Survey on Evaluation of LLM-based Agents",preprint,needs_author_lookup,"Find authors and keep as support literature"
P1,feedback2025agents,2025,"A Survey on the Feedback Mechanism of LLM-based AI Agents",conference,needs_author_lookup,"Find authors and keep as support literature"
P1,fourney2024magenticone,2024,"Magentic-One: A Generalist Multi-Agent System for Solving Complex Tasks",tech_report,partial,"Keep and optionally complete full author list"
P1,ibrahim2024augmentkg,2024,"A Survey on Augmenting Knowledge Graphs with Large Language Models",journal,partial,"Keep and optionally complete full author list"
P1,liang2024kgreasoning,2024,"A Survey of Knowledge Graph Reasoning on Graph Types: Static, Dynamic, and Multi-Modal",journal,partial,"Keep and optionally complete full author list"
P1,liu2024kgpath,2024,"Knowledge Graph-Enhanced Large Language Models via Path Selection",conference,partial,"Keep and optionally complete full author list"
P1,li2024kgatomic,2024,"A Framework of Knowledge Graph-Enhanced Large Language Model Based on Question Decomposition and Atomic Retrieval",conference,partial,"Keep and optionally complete full author list"
P1,yao2024got,2024,"GoT: Effective Graph-of-Thought Reasoning in Language Models",conference,partial,"Keep and optionally complete full author list"
P1,cao2024graphreason,2024,"GraphReason: Enhancing Reasoning Capabilities of Large Language Models through a Graph-Based Verification Approach",workshop,clean,"Keep as support literature"
P1,ji2024retrievalkg,2024,"Retrieval and Reasoning on KGs: Integrate Knowledge Graphs into Large Language Models for Complex Question Answering",conference,partial,"Keep and optionally complete full author list"
P1,fang2025karpa,2025,"KARPA: A Training-free Method of Adapting Knowledge Graph as References for Large Language Model's Reasoning Path Aggregation",conference,partial,"Keep and optionally complete full author list"
P1,wu2024ragnlp,2024,"Retrieval-Augmented Generation for Natural Language Processing: A Survey",preprint,partial,"Keep and optionally complete full author list"
P1,yang2023xaisurvey,2023,"Survey on Explainable AI: From Approaches, Limitations and Applications Aspects",journal,clean,"Keep as support literature"
P1,solano2024enterpriseanalytics,2024,"Integrating Analytics in Enterprise Systems: A Systematic Literature Review of Impacts and Innovations",journal,clean,"Keep as support literature"
P1,hong2023metagpt,2023,"MetaGPT: Meta Programming for Multi-Agent Collaborative Framework",preprint,partial,"Keep and optionally complete full author list"
P2,bizfinance2024benchmarking,2024,"Benchmarking Business and Finance Reasoning with Large Language Models",misc,placeholder_verify,"Strongly verify source; replace or remove if no formal publication"
P2,financeqa2024survey,2024,"Recent Advances in Financial Question Answering and Reasoning for Large Language Models",misc,placeholder_verify,"Strongly verify source; replace or remove if no formal publication"
P2,agentbusiness2025survey,2025,"Multi-Agent Systems for Business Analysis and Decision Support: Emerging Trends",misc,placeholder_verify,"Strongly verify source; replace or remove if no formal publication"
P2,canvasinteraction2025survey,2025,"Canvas-Based Interaction for Generative Analytical Systems: Recent Directions",misc,placeholder_verify,"Strongly verify source; replace or remove if no formal publication"
P2,evidencegrounding2024survey,2024,"Evidence Grounding and Citation Support in Generative Systems: A Review",misc,placeholder_verify,"Strongly verify source; replace or remove if no formal publication"
